Vial #	Standard Added Vol (uL)	sample	Depth	Filter size (um)	Notes	date extracted	Standard Added Concentration (ng/uL)	Standard Added Mass (ng)	Standard Added Mass (g)	Standard Added Moles	Standard Added Molecules	Standard Recovered Read Count	Standard Recovered Base Pair	Standard Recovered Molecules	Efficiency	Efficiency Z-scores	Absolute Efficiency Z-scores
22	6.5	KJ_22	75.0	20.0		2024-05-15	0.1	0.65	6.5e-10	9.81048850769825e-19	590787.6179335886	336459	50468850	23.542781946048624	3.98498228998007e-05	0.4917475740778385	0.4917475740778385
23	6.5	KJ_23	75.0	20.0		2024-07-12	0.1	0.65	6.5e-10	9.81048850769825e-19	590787.6179335886	303137	45470550	21.21116775232448	3.5903202958984266e-05	0.40123107375018274	0.40123107375018274
25	2.9	KJ_25	75.0	5.0		2024-05-15	0.1	0.29	2.9e-10	4.37698718035768e-19	263582.1680011395	33904	5085600	2.372338023648743	9.000373741665586e-06	-0.21579057672081126	0.21579057672081126
26	2.9	KJ_26	75.0	5.0		2024-07-12	0.1	0.29	2.9e-10	4.37698718035768e-19	263582.1680011395	32876	4931400	2.3004065852252267	8.727474254689649e-06	-0.22204957983555365	0.22204957983555365
28	6.8	KJ_28	75.0	1.2		2024-05-15	0.1	0.68	6.800000000000001e-10	1.0263280284976633e-18	618054.7387612929	34437	5165550	2.409633214971442	3.898737545157951e-06	-0.3327976008015833	0.3327976008015833
29	6.8	KJ_29	75.0	1.2		2024-07-12	0.1	0.68	6.800000000000001e-10	1.0263280284976633e-18	618054.7387612929	34542	5181300	2.4169802976897974	3.9106249756031586e-06	-0.3325249602590623	0.3325249602590623
31	3.4	KJ_31	75.0	0.2		2024-05-15	0.1	0.34	3.4000000000000007e-10	5.131640142488316e-19	309027.36938064644	7124	1068600	0.4984820693863157	1.6130677046029123e-06	-0.3852198856868904	0.3852198856868904
32	3.4	KJ_32	75.0	0.2		2024-07-12	0.1	0.34	3.4000000000000007e-10	5.131640142488316e-19	309027.36938064644	128992	19348800	9.0258561333913	2.9207303390249697e-05	0.24765930737889863	0.24765930737889863
105	15.0	KJ_105	300.0	20.0		2024-05-15	0.1	1.5	1.5000000000000002e-09	2.263958886391904e-18	1363356.0413852048	799824	119973600	55.96545798215056	4.104977444137646e-05	0.519268697402357	0.519268697402357
108	5.32	KJ_108	300.0	5.0		2024-05-15	0.1	0.532	5.32e-10	8.029507517069952e-19	483536.9426779525	212132	31819800	14.843346202001392	3.0697439827027705e-05	0.28183587803697047	0.28183587803697047
111	17.42	KJ_111	300.0	1.2		2024-05-15	0.1	1.7420000000000002	1.7420000000000004e-09	2.6292109200631316e-18	1583310.8160620178	377578	56636700	26.419969510772923	1.6686533839568023e-05	-0.039506991411536095	0.039506991411536095
114	4.09	KJ_114	300.0	0.2		2024-05-15	0.1	0.40900000000000003	4.0900000000000004e-10	6.173061230228592e-19	371741.7472843658	22504	3375600	1.5746547570844536	4.235883563219799e-06	-0.32506509092933805	0.32506509092933805
117	4.23	KJ_117	1000.0	20.0		2024-05-15	0.1	0.42300000000000004	4.230000000000001e-10	6.38436405962517e-19	384466.40367062774	50438	7565700	3.5292586490324243	9.179628220664865e-06	-0.21167934018159806	0.21167934018159806
120	3.05	KJ_120	1000.0	5.0		2024-05-15	0.1	0.305	3.0500000000000003e-10	4.603383068996872e-19	277215.72841499164	105552	15832800	7.385707381788937	2.6642454322550348e-05	0.18883399230972864	0.18883399230972864
123	5.68	KJ_123	1000.0	1.2		2024-05-15	0.1	0.568	5.68e-10	8.572857649804009e-19	516257.48767119745	159327	23899050	11.14846331683233	2.159477311820172e-05	0.07306443652807768	0.07306443652807768
126	3.86	KJ_126	1000.0	0.2		2024-05-15	0.1	0.386	3.86e-10	5.825920867648499e-19	350836.95464979263	48470	7270500	3.3915533272255365	9.66703559096562e-06	-0.20050055680363657	0.20050055680363657
3435	4.95	KJ_34_35	150.0	20.0	DNA extraction combined: 34+35	2024-07-15	0.1	0.49500000000000005	4.95e-10	7.471064325093283e-19	449907.49365711753	144391	21658650	10.10335829320038	2.2456523697958957e-05	0.09282885463893763	0.09282885463893763
3738	3.6	KJ_37_38	150.0	5.0	DNA extraction combined: 37+38	2024-07-15	0.1	0.36000000000000004	3.6000000000000005e-10	5.433501327340569e-19	327205.4499324491	32421	4863150	2.2685692267790203	6.933164552263301e-06	-0.263202423839578	0.263202423839578
4041	6.2	KJ_40_41	150.0	1.2	DNA extraction combined: 40+41	2024-07-15	0.1	0.6200000000000001	6.200000000000001e-10	9.35769673041987e-19	563520.4971058846	16207	2431050	1.1340397106322315	2.012419630619305e-06	-0.3760606711478196	0.3760606711478196
4344	7.3	KJ_43_44	150.0	0.2	DNA extraction combined: 43+44	2024-07-15	0.1	0.73	7.300000000000001e-10	1.1017933247107266e-18	663499.9401407996	14439	2165850	1.0103288320984014	1.5227263349624449e-06	-0.38729188267096554	0.38729188267096554
4647	15.0	KJ_46_47	300.0	20.0	DNA extraction combined: 46+47	2024-07-15	0.1	1.5	1.5000000000000002e-09	2.263958886391904e-18	1363356.0413852048	664272	99640800	46.48058410940296	3.409277011907872e-05	0.35970844243428046	0.35970844243428046
4950	5.3	KJ_49_50	300.0	5.0	DNA extraction combined: 49+50	2024-07-15	0.1	0.53	5.3e-10	7.999321398584727e-19	481719.1346227723	65641	9846150	4.593046254433906	9.53469755364951e-06	-0.20353575557567918	0.20353575557567918
5253	17.4	KJ_52_53	300.0	1.2	DNA extraction combined: 52+53	2024-07-15	0.1	1.74	1.7400000000000002e-09	2.6261923082146086e-18	1581493.0080068375	108916	16337400	7.621093917641768	4.818923560874079e-06	-0.3116929545366474	0.3116929545366474
5556	4.1	KJ_55_56	300.0	0.2	DNA extraction combined: 55+56	2024-07-15	0.1	0.41	4.1e-10	6.188154289471203e-19	372650.6513119559	17068	2560200	1.1942857889227452	3.2048402027962014e-06	-0.34871227207957156	0.34871227207957156
5859	4.23	KJ_58_59	1000.0	20.0	DNA extraction combined: 58+59	2024-07-18	0.1	0.42300000000000004	4.230000000000001e-10	6.38436405962517e-19	384466.40367062774	420185	63027750	29.40127573344877	7.647293873468548e-05	1.3317058994752295	1.3317058994752295
6465	5.68	KJ_64_65	1000.0	1.2	DNA extraction combined: 64+65	2024-07-18	0.1	0.568	5.68e-10	8.572857649804009e-19	516257.48767119745	68103	10215450	4.765317851125246	9.230506026404135e-06	-0.21051244775493172	0.21051244775493172
6768	3.86	KJ_67_68	1000.0	0.2	DNA extraction combined: 67+68	2024-07-18	0.1	0.386	3.86e-10	5.825920867648499e-19	350836.95464979263	21079	3161850	1.4749443487639176	4.204073513966666e-06	-0.32579466063121526	0.32579466063121526
7071	6.5	KJ_70_71	5.0	20.0	DNA extraction combined: 70+71	2024-07-18	0.1	0.65	6.5e-10	9.81048850769825e-19	590787.6179335886	7074	1061100	0.4949834585680512	8.378365482664756e-07	-0.40299996389782144	0.40299996389782144
9495	4.95	KJ_94_95	150.0	20.0	DNA extraction combined: 94+95	2024-07-25	0.1	0.49500000000000005	4.95e-10	7.471064325093283e-19	449907.49365711753	198613	29791950	13.897391808959055	3.088944284077763e-05	0.28623950471438764	0.28623950471438764
9798	3.56	KJ_97_98	150.0	5.0	DNA extraction combined: 97+98	2024-07-25	0.1	0.35600000000000004	3.5600000000000006e-10	5.373129090370119e-19	323569.8338220886	46433	6964950	3.249019922489444	1.004117066202124e-05	-0.1919196957656751	0.1919196957656751
100101	6.22	KJ_100_101	150.0	1.2	DNA extraction combined: 100+101	2024-09-19	0.1	0.622	6.22e-10	9.387882848905094e-19	565338.3051610648	29507	4426050	2.0646701882905694	3.652096752408003e-06	-0.33845435562787796	0.33845435562787796
103104	7.31	KJ_103_104	150.0	0.2	DNA extraction combined: 103+104	2024-09-19	0.1	0.731	7.310000000000001e-10	1.103302630634988e-18	664408.8441683898	8296	1244400	0.5804895069664339	8.736932267856941e-07	-0.40217758396217906	0.40217758396217906
106107	15.0	KJ_106_107	300.0	20.0	DNA extraction combined: 106+107	2024-09-19	0.1	1.5	1.5000000000000002e-09	2.263958886391904e-18	1363356.0413852048	704534	105680100	49.29780548470221	3.6159157247445334e-05	0.4071014354223934	0.4071014354223934
109110	5.32	KJ_109_110	300.0	5.0	DNA extraction combined: 109+110	2024-09-19	0.1	0.532	5.32e-10	8.029507517069952e-19	483536.9426779525	33780	5067000	2.3636614688194477	4.888274835277073e-06	-0.31010236949264564	0.31010236949264564
112113	17.42	KJ_112_113	300.0	1.2	DNA extraction combined: 112+113	2024-09-19	0.1	1.7420000000000002	1.7420000000000004e-09	2.6292109200631316e-18	1583310.8160620178	116326	17448900	8.139588040908556	5.140865557372489e-06	-0.3043091518729671	0.3043091518729671
115116	4.09	KJ_115_116	300.0	0.2	DNA extraction combined: 115+116	2024-09-19	0.1	0.40900000000000003	4.0900000000000004e-10	6.173061230228592e-19	371741.7472843658	18430	2764500	1.289587947612268	3.4690425733265595e-06	-0.34265273903172216	0.34265273903172216
118119	4.23	KJ_118_119	1000.0	20.0	DNA extraction combined: 118+119	2024-09-19	0.1	0.42300000000000004	4.230000000000001e-10	6.38436405962517e-19	384466.40367062774	228511	34276650	15.989421133848452	4.158860431286627e-05	0.5316268659036717	0.5316268659036717
121122	3.05	KJ_121_122	1000.0	5.0	DNA extraction combined: 121+122	2024-09-19	0.1	0.305	3.0500000000000003e-10	4.603383068996872e-19	277215.72841499164	29391	4408650	2.056553411192196	7.418602916042115e-06	-0.25206880001134796	0.25206880001134796
124125	5.68	KJ_124_125	1000.0	1.2	DNA extraction combined: 124+125	2024-09-19	0.1	0.568	5.68e-10	8.572857649804009e-19	516257.48767119745	108247	16237050	7.57428250489339	1.4671520870448709e-05	-0.08572170800818606	0.08572170800818606
127128	3.86	KJ_127_128	1000.0	0.2	DNA extraction combined: 127+128	2024-09-19	0.1	0.386	3.86e-10	5.825920867648499e-19	350836.95464979263	32793	4918950	2.2945988912669075	6.540356883320312e-06	-0.27221154456257024	0.27221154456257024
10	6.5	KJ10	5.0	20.0		2024-05-15	0.1	0.65	6.5e-10	9.81048850769825e-19	590787.6179335886	99621	14943150	6.970702166526412	1.1798998413182724e-05	-0.15160357245002204	0.15160357245002204
11	6.5	KJ11	5.0	20.0		2024-07-12	0.1	0.65	6.5e-10	9.81048850769825e-19	590787.6179335886	119640	17946000	8.371475965943123	1.4170026100452523e-05	-0.09722358865375104	0.09722358865375104
13	2.9	KJ13	5.0	5.0		2024-05-15	0.1	0.29	2.9e-10	4.37698718035768e-19	263582.1680011395	9480	1422000	0.6633366111429355	2.51662172814387e-06	-0.36449669741582	0.36449669741582
14	2.9	KJ14	5.0	5.0		2024-07-12	0.1	0.29	2.9e-10	4.37698718035768e-19	263582.1680011395	25239	3785850	1.766028768843518	6.700107151542525e-06	-0.26854764091268196	0.26854764091268196
16	6.8	KJ16	5.0	1.2		2024-05-15	0.1	0.68	6.800000000000001e-10	1.0263280284976633e-18	618054.7387612929	9220	1383000	0.6451438348879605	1.0438296067124404e-06	-0.3982754728087551	0.3982754728087551
17	6.8	KJ17	5.0	1.2		2024-07-12	0.1	0.68	6.800000000000001e-10	1.0263280284976633e-18	618054.7387612929	12135	1820250	0.8491128455927767	1.3738473185960374e-06	-0.390706452033052	0.390706452033052
19	3.4	KJ19	5.0	0.2		2024-05-15	0.1	0.34	3.4000000000000007e-10	5.131640142488316e-19	309027.36938064644	2677	401550	0.1873156232098774	6.061457390822564e-07	-0.4083138379267201	0.4083138379267201
20	3.4	KJ20	5.0	0.2		2024-07-12	0.1	0.34	3.4000000000000007e-10	5.131640142488316e-19	309027.36938064644	2201	330150	0.1540088482200001	4.983663697123821e-07	-0.4107857788455776	0.4107857788455776
7374	2.88	KJ7374	5.0	5.0	DNA extraction combined: 73+74	2024-07-18	0.1	0.288	2.88e-10	4.346801061872455e-19	261764.35994595924	6871	1030650	0.4807790986458977	1.8366866243561715e-06	-0.3800911420210059	0.3800911420210059
7677	6.83	KJ7677	5.0	1.2	DNA extraction combined: 76+77	2024-07-18	0.1	0.683	6.830000000000001e-10	1.030855946270447e-18	620781.4508440632	5706	855900	0.3992614665803365	6.431594662460827e-07	-0.4074649208540873	0.4074649208540873
7980	3.44	KJ7980	5.0	0.2	DNA extraction combined: 79+80	2024-07-18	0.1	0.34400000000000003	3.4400000000000005e-10	5.192012379458767e-19	312662.9854910069	1521	228150	0.1064277410916039	3.4039123922670105e-07	-0.4144089693642497	0.4144089693642497
8283	6.5	KJ8283	75.0	20.0	DNA extraction combined: 82+83	2024-07-25	0.1	0.65	6.5e-10	9.81048850769825e-19	590787.6179335886	76252	11437800	5.335521442285983	9.031200519990854e-06	-0.215083558529999	0.215083558529999
8586	2.88	KJ8586	75.0	5.0	DNA extraction combined: 85+86	2024-07-25	0.1	0.288	2.88e-10	4.346801061872455e-19	261764.35994595924	9878	1481700	0.6911855532563204	2.640487625584378e-06	-0.36165580882903114	0.36165580882903114
88	6.83	KJ88	75.0	1.2		2024-07-25	0.1	0.683	6.830000000000001e-10	1.030855946270447e-18	620781.4508440632	12609	1891350	0.8822796761499234	1.4212403978087726e-06	-0.38961948249090733	0.38961948249090733
91	3.44	KJ91	75.0	0.2		2024-07-25	0.1	0.34400000000000003	3.4400000000000005e-10	5.192012379458767e-19	312662.9854910069	3475	521250	0.2431534518693777	7.776854413627784e-07	-0.40437954130061315	0.40437954130061315
92	3.44	KJ92	75.0	0.2	This filter got both the 1.2 and .2 size fraction	2024-07-25	0.1	0.34400000000000003	3.4400000000000005e-10	5.192012379458767e-19	312662.9854910069	1555	233250	0.1088067964480237	3.480002478616174e-07	-0.41423445526283537	0.41423445526283537
9	6.5	KJ9	5.0	20.0		2024-04-26	0.1	0.65	6.5e-10	9.81048850769825e-19	590787.6179335886	437509	65626350	30.613474409761032	5.181807045455435e-05	0.7662416728146978	0.7662416728146978
12	2.9	KJ12	5.0	5.0		2024-04-26	0.1	0.29	2.9e-10	4.37698718035768e-19	263582.1680011395	28012	4201800	1.960061724824463	7.436245553667308e-06	-0.2516641626663972	0.2516641626663972
15	6.8	KJ15	5.0	1.2		2024-04-26	0.1	0.68	6.800000000000001e-10	1.0263280284976633e-18	618054.7387612929	16894	2534100	1.1821106232751848	1.9126309518221224e-06	-0.3783493440153603	0.3783493440153603
18	3.4	KJ18	5.0	0.2		2024-04-26	0.1	0.34	3.4000000000000007e-10	5.131640142488316e-19	309027.36938064644	17232	2584800	1.2057612324066525	3.901794312986719e-06	-0.33272749323350653	0.33272749323350653
21	6.5	KJ21	75.0	20.0		2024-04-26	0.1	0.65	6.5e-10	9.81048850769825e-19	590787.6179335886	316715	47507250	22.161250506132365	3.751136590107674e-05	0.43811460539440894	0.43811460539440894
24	2.9	KJ24	75.0	5.0	spilled ~90% of sample during extraction	2024-04-26	0.1	0.29	2.9e-10	4.37698718035768e-19	263582.1680011395	37705	5655750	2.638302418053205	1.000941163076631e-05	-0.19264809535978406	0.19264809535978406
27	6.8	KJ27	75.0	1.2		2024-04-26	0.1	0.68	6.800000000000001e-10	1.0263280284976633e-18	618054.7387612929	20799	3119850	1.4553521281816366	2.354730150760526e-06	-0.3682097124101731	0.3682097124101731
30	3.4	KJ30	75.0	0.2		2024-04-26	0.1	0.34	3.4000000000000007e-10	5.131640142488316e-19	309027.36938064644	15772	2365800	1.1036017965133311	3.5712105329866836e-06	-0.34030949689218676	0.34030949689218676
33	4.95	KJ33	150.0	20.0		2024-04-26	0.1	0.49500000000000005	4.95e-10	7.471064325093283e-19	449907.49365711753	527651	79147650	36.92090993736088	8.206333625885094e-05	1.4599227602107903	1.4599227602107903
36	3.6	KJ36	150.0	5.0		2024-04-26	0.1	0.36000000000000004	3.6000000000000005e-10	5.433501327340569e-19	327205.4499324491	62103	9315450	4.345484552933515	1.3280599555510556e-05	-0.11762276043972511	0.11762276043972511
39	6.2	KJ39	150.0	1.2		2024-04-26	0.1	0.6200000000000001	6.200000000000001e-10	9.35769673041987e-19	563520.4971058846	14628	2194200	1.023553580991441	1.8163555473992224e-06	-0.380557439247907	0.380557439247907
42	7.3	KJ42	150.0	0.2		2024-04-26	0.1	0.73	7.300000000000001e-10	1.1017933247107266e-18	663499.9401407996	28422	4263300	1.9887503335342316	2.997363244844007e-06	-0.3534707966940739	0.3534707966940739
45	15.0	KJ45	300.0	20.0		2024-04-26	0.1	1.5	1.5000000000000002e-09	2.263958886391904e-18	1363356.0413852048	1424598	213689700	99.68227948955736	7.311536859313551e-05	1.254699371515797	1.254699371515797
48	5.3	KJ48	300.0	5.0		2024-04-26	0.1	0.53	5.3e-10	7.999321398584727e-19	481719.1346227723	89528	13429200	6.264472586751554	1.3004408869199636e-05	-0.12395724785499576	0.12395724785499576
51	17.4	KJ51	300.0	1.2		2024-04-26	0.1	1.74	1.7400000000000002e-09	2.6261923082146086e-18	1581493.0080068375	275741	41361150	19.29420891278103	1.2199996342125854e-05	-0.14240660651185738	0.14240660651185738
54	4.1	KJ54	300.0	0.2		2024-04-26	0.1	0.41	4.1e-10	6.188154289471203e-19	372650.6513119559	19132	2869800	1.3387084435007006	3.5923952870809065e-06	-0.3398236204131574	0.3398236204131574
57	4.2	KJ57	1000.0	20.0		2024-05-10	0.1	0.42000000000000004	4.2000000000000005e-10	6.339084881897331e-19	381739.69158785726	2118933	317839950	148.26643833954998	0.0003883967048928851	8.485738490670593	8.485738490670593
60	3.05	KJ60	1000.0	5.0		2024-05-10	0.1	0.305	3.0500000000000003e-10	4.603383068996872e-19	277215.72841499164	191244	28686600	13.381766546563243	4.8272032121246575e-05	0.6849125900116718	0.6849125900116718
63	5.68	KJ63	1000.0	1.2		2024-05-10	0.1	0.568	5.68e-10	8.572857649804009e-19	516257.48767119745	171894	25784100	12.027804159894911	2.3298072080564915e-05	0.1121299314064493	0.1121299314064493
66	3.86	KJ66	1000.0	0.2		2024-05-10	0.1	0.386	3.86e-10	5.825920867648499e-19	350836.95464979263	46453	6967950	3.2504193668167494	9.264757670871176e-06	-0.20972687958923136	0.20972687958923136
69	6.5	KJ69	5.0	20.0		2024-05-10	0.1	0.65	6.5e-10	9.81048850769825e-19	590787.6179335886	99017	14852550	6.928438947841777	1.1727461337249311e-05	-0.15324428927968126	0.15324428927968126
72	2.88	KJ72	5.0	5.0		2024-05-10	0.1	0.288	2.88e-10	4.346801061872455e-19	261764.35994595924	9469	1420350	0.6625669167629173	2.531157858540036e-06	-0.3641633084218205	0.3641633084218205
75	6.83	KJ75	5.0	1.2		2024-05-10	0.1	0.683	6.830000000000001e-10	1.030855946270447e-18	620781.4508440632	13415	2012250	0.938677282540346	1.5120897721155275e-06	-0.3875358343204418	0.3875358343204418
78	3.44	KJ78	5.0	0.2		2024-05-10	0.1	0.34400000000000003	3.4400000000000005e-10	5.192012379458767e-19	312662.9854910069	9330	1399500	0.6528407786881423	2.088001487169705e-06	-0.37432718648352387	0.37432718648352387
81	6.5	KJ81	75.0	20.0		2024-05-10	0.1	0.65	6.5e-10	9.81048850769825e-19	590787.6179335886	208777	31316550	14.60858941609585	2.472731142740034e-05	0.14490981539481343	0.14490981539481343
84	2.88	KJ84	75.0	5.0		2024-05-10	0.1	0.288	2.88e-10	4.346801061872455e-19	261764.35994595924	11981	1797150	0.8383371242725222	3.2026404375507625e-06	-0.34876272412576437	0.34876272412576437
87	6.83	KJ87	75.0	1.2		2024-05-10	0.1	0.683	6.830000000000001e-10	1.030855946270447e-18	620781.4508440632	7117	1067550	0.4979922638717586	8.022022294555503e-07	-0.4038172439700591	0.4038172439700591
90	3.44	KJ90	75.0	0.2		2024-05-10	0.1	0.34400000000000003	3.4400000000000005e-10	5.192012379458767e-19	312662.9854910069	63297	9494550	4.4290313792736695	1.4165512340126557e-05	-0.09732711262974852	0.09732711262974852
93	4.95	KJ93	150.0	20.0		2024-05-10	0.1	0.49500000000000005	4.95e-10	7.471064325093283e-19	449907.49365711753	425042	63756300	29.741130788334974	6.610499093176078e-05	1.0939149885758104	1.0939149885758104
96	3.56	KJ96	150.0	5.0		2024-05-10	0.1	0.35600000000000004	3.5600000000000006e-10	5.373129090370119e-19	323569.8338220886	45263	6789450	3.167152429342056	9.78815729492101e-06	-0.19772260683121123	0.19772260683121123
99	6.22	KJ99	150.0	1.2		2024-05-10	0.1	0.622	6.22e-10	9.387882848905094e-19	565338.3051610648	24296	3644400	1.7000449688110508	3.0071285693735332e-06	-0.353246827065827	0.353246827065827
102	7.31	KJ102	150.0	0.2		2024-05-10	0.1	0.731	7.310000000000001e-10	1.103302630634988e-18	664408.8441683898	21465	3219750	1.5019536242809188	2.260586440809417e-06	-0.37036891681303574	0.37036891681303574
