sample_name	summary_type	Prochlorococcus	Synechococcus	other_genus	unclassified	depth	filter size (um)	cell_state	binned_depth
ERR1726590	percent	0.0507586773261279	0.0507143739162319	1.6910611557298931	98.20746579302777	70.0	20.0	Particle-bound	75
SRR23969194	percent	3.272430187669597	0.1368304633355288	24.51038609381887	72.080353255176	125.0	0.2	Free-living	150
SRR23969195	percent	17.70988882096164	0.1324721922869041	31.52237193998273	50.63526704676873	45.0	0.2	Free-living	45
SRR23969196	percent	14.12373569567322	0.1385426784582399	27.956490812245065	57.78123081362347	75.0	0.2	Free-living	75
SRR23969197	percent	6.079770190751157	0.1047394743831294	19.04788183612924	74.76760849873646	100.0	0.2	Free-living	150
SRR23969198	percent	12.486261461771395	0.0994942780124162	34.34231601461471	53.07192824560148	5.0	0.2	Free-living	5
SRR23969200	percent	12.811234416015283	0.1045805196945823	30.38313654214104	56.7010485221491	5.0	0.2	Free-living	5
SRR23969201	percent	23.239445158538103	0.2922418500451107	25.38446923428998	51.0838437571268	75.0	0.2	Free-living	75
SRR23969202	percent	17.308185998262886	0.2009040933523384	28.016414065547057	54.47449584283771	25.0	0.2	Free-living	45
SRR23969193	percent	4.88347251327131	0.0404026221588324	30.59664070822072	64.47948415634914	125.0	0.2	Free-living	150
SRR23969203	percent	3.910554335924004	0.1873459074120516	20.77677695238166	75.12532280428229	125.0	0.2	Free-living	150
SRR23969205	percent	12.696011204215743	0.1522835092709237	23.606543051497336	63.545162235016	75.0	0.2	Free-living	75
SRR23969206	percent	16.826444144688917	0.1169799492110076	31.287583722328115	51.76899218377197	75.0	0.2	Free-living	75
SRR23969207	percent	15.241901456183932	0.1234881635745224	27.560821080776428	57.07378929946512	25.0	0.2	Free-living	45
SRR23969208	percent	17.2516618487864	0.1098418790657724	37.391413223187584	45.24708304896024	5.0	0.2	Free-living	5
SRR23969209	percent	8.644345432416111	0.1279479234509396	24.40270393769134	66.82500270644161	125.0	0.2	Free-living	150
SRR23969210	percent	17.36383647384787	0.5521584109757659	28.298293841050643	53.78571127412573	5.0	0.2	Free-living	5
SRR23969211	percent	6.298137409306638	0.1812796502566361	28.059911952400967	65.46067098803576	125.0	0.2	Free-living	150
SRR23969212	percent	13.16254831908269	0.0478390348061619	25.09753068468624	61.6920819614249	5.0	0.2	Free-living	5
SRR23969213	percent	19.28622613187749	0.1970388051884944	27.33461986855	53.18211519438402	100.0	0.2	Free-living	150
SRR23969204	percent	17.57174335421983	0.1908492153210098	31.8622851824565	50.375122248002654	5.0	0.2	Free-living	5
SRR23969214	percent	12.074527917573969	0.1601066296815735	28.726720349839912	59.03864510290455	5.0	0.2	Free-living	5
SRR23969192	percent	14.392632976054514	0.1023065031753692	30.84458192165989	54.66047859911023	100.0	0.2	Free-living	150
SRR23969190	percent	9.624047545871468	0.1577132319777119	22.874058522294117	67.34418069985671	45.0	0.2	Free-living	45
SRR23969170	percent	0.1619856990167046	0.0094087382523385	23.852331920163092	75.97627364256786	200.0	0.2	Free-living	300
SRR23969171	percent	11.790092252559406	0.091548890168988	26.697075552340177	61.42128330493143	45.0	0.2	Free-living	45
SRR23969172	percent	7.866470940019564	0.0847186266171141	25.843204331112517	66.20560610225081	100.0	0.2	Free-living	150
SRR23969173	percent	16.371126223110437	0.1521348052076311	25.10853781570632	58.368201155975605	100.0	0.2	Free-living	150
SRR23969174	percent	7.271288391828601	0.1805781988492683	26.09680143204905	66.45133197727309	100.0	0.2	Free-living	150
SRR23969175	percent	0.1348780897817519	0.0109353270494823	17.7673186544114	82.08686792875737	200.0	0.2	Free-living	300
SRR23969176	percent	20.061819621766183	0.2808078882170143	24.59390909470375	55.06346339531305	45.0	0.2	Free-living	45
SRR23969177	percent	7.407938597410634	0.0985676513522553	29.93632929029807	62.55716446093904	100.0	0.2	Free-living	150
SRR23969178	percent	17.18599499507515	0.5821247297550479	27.88433768705304	54.34754258811676	45.0	0.2	Free-living	45
SRR23969191	percent	11.215719546614787	0.2194715810285785	22.60914698192509	65.95566189043154	75.0	0.2	Free-living	75
SRR23969179	percent	19.287981481736622	0.1481400881213458	27.708737326284893	52.855141103857136	125.0	0.2	Free-living	150
SRR23969181	percent	14.990182117564938	0.1071423244451292	28.718651640048293	56.18402391794164	25.0	0.2	Free-living	45
SRR23969182	percent	14.446589459335424	0.0825120423114503	29.45832426326447	56.01257423508866	45.0	0.2	Free-living	45
SRR23969183	percent	16.497777413075745	0.1245013825461721	30.844186785579147	52.533534418798936	75.0	0.2	Free-living	75
SRR23969184	percent	13.34883796721386	0.3688967267297904	30.09208147306066	56.190183832995686	100.0	0.2	Free-living	150
SRR23969185	percent	8.59530530363261	0.2409518178791314	26.35585665582376	64.80788622266451	25.0	0.2	Free-living	45
SRR23969186	percent	10.02374094903442	0.1960245643077141	24.90305249279965	64.87718199385822	75.0	0.2	Free-living	75
SRR23969188	percent	0.6935735564713559	0.0403777795547684	26.80437152714797	72.4616771368259	150.0	0.2	Free-living	150
SRR23969189	percent	13.916755520908614	0.0793451469297364	25.61354990458805	60.3903494275736	125.0	0.2	Free-living	150
SRR23969180	percent	16.41159114959121	0.1569653842162891	32.347525833599825	51.08391763259268	25.0	0.2	Free-living	45
SRR23969169	percent	16.911442752831192	0.0780099207957854	32.36295518143116	50.64759214494187	25.0	0.2	Free-living	45
SRR23969215	percent	0.2908113189125388	0.0198037883342642	25.98966566382812	73.69971922892508	150.0	0.2	Free-living	150
SRR23969217	percent	16.56951010226847	0.1178552767736533	29.524908217007123	53.78772640395076	45.0	0.2	Free-living	45
SRR9178089	percent	14.852077684175798	0.087381675169945	26.77778444985284	58.28275619080141	45.0	0.2	Free-living	45
SRR9178090	percent	3.2357229725153545	0.114066409367218	33.23653828032749	63.41367233778994	175.0	0.2	Free-living	300
SRR9178091	percent	0.1452018408210774	0.0087001979672213	32.72502144246768	67.12107651874403	250.0	0.2	Free-living	300
SRR9178092	percent	13.303737495892298	0.1022875516644704	25.88547827530096	60.70849667714226	5.0	0.2	Free-living	5
SRR9178093	percent	15.555813937769289	0.1094649979302492	24.57187087513487	59.7628501891656	5.0	0.2	Free-living	5
SRR9178094	percent	13.72769667060139	0.1182266952115029	26.25349931261601	59.90057732157109	25.0	0.2	Free-living	45
SRR9178096	percent	2.3685467128714226	0.0714747728250251	32.64269161147353	64.91728690283001	125.0	0.2	Free-living	150
SRR9178097	percent	13.62270706829269	0.174792514351584	31.03845009409621	55.16405032325952	25.0	0.2	Free-living	45
SRR9178088	percent	1.8486900153346195	0.0629202556661671	25.83185139124448	72.25653833775473	175.0	0.2	Free-living	300
SRR9178098	percent	0.50384766336034	0.0247931548090833	30.17009900238592	69.30126017944465	175.0	0.2	Free-living	300
SRR9178101	percent	0.233272534253463	0.0113047732796563	29.49433405780526	70.26108863466162	175.0	0.2	Free-living	300
SRR9178102	percent	8.660863396738803	0.0796896213456905	26.503107661707304	64.7563393202082	125.0	0.2	Free-living	150
SRR9178103	percent	21.62427757636243	0.0731253277841641	30.560569839013585	47.74202725683983	45.0	0.2	Free-living	45
SRR9178104	percent	20.34612656668604	0.11279697335887	27.678239133985084	51.86283732597001	25.0	0.2	Free-living	45
SRR9178105	percent	13.778250248767662	0.1112095958153111	25.409047499968462	60.70149265544856	25.0	0.2	Free-living	45
SRR9178106	percent	18.13907470428044	0.1345601350551335	27.67970850091093	54.04665665975349	25.0	0.2	Free-living	45
SRR9178107	percent	0.1978324890912653	0.0118505714382341	31.170050610371884	68.62026632909861	200.0	0.2	Free-living	300
SRR9178108	percent	2.8751828554739247	0.0599057324090012	22.68653707341656	74.37837433870051	125.0	0.2	Free-living	150
SRR9178109	percent	17.39332286746761	0.1213136294226344	27.99669798670868	54.48866551640108	75.0	0.2	Free-living	75
SRR9178100	percent	14.837842573367174	0.1336905409018276	35.88678944023566	49.14167744549534	5.0	0.2	Free-living	5
SRR23969216	percent	14.290194425946336	0.1044062156701225	21.13061576826559	64.47478359011795	100.0	0.2	Free-living	150
SRR9178087	percent	4.347260516614431	0.1217726517453411	27.779621544797468	67.75134528684276	125.0	0.2	Free-living	150
SRR9178085	percent	18.67583589185276	0.1436400995632521	29.89941153581964	51.28111247276436	75.0	0.2	Free-living	75
SRR23969218	percent	15.144422314284316	0.109678867924261	28.881833326368472	55.86406549142296	75.0	0.2	Free-living	75
SRR23969219	percent	18.064394557829605	0.2297459650913224	26.225502212672662	55.48035726440641	45.0	0.2	Free-living	45
SRR23969220	percent	18.47587684363841	0.095091085476238	25.817523682346955	55.6115083885384	100.0	0.2	Free-living	150
SRR23969221	percent	13.91163512034937	0.1066136514502677	26.791089024933427	59.19066220326694	100.0	0.2	Free-living	150
SRR23969222	percent	14.592315206773035	0.1742033522056841	29.839697062005648	55.39378437901563	75.0	0.2	Free-living	75
SRR23969223	percent	10.300763927988536	0.2262157727944597	29.2590397533878	60.213980545829216	5.0	0.2	Free-living	5
SRR23969224	percent	15.183944412259208	0.1020667935019837	31.56521908625412	53.14876970798469	5.0	0.2	Free-living	5
SRR23969225	percent	15.25351252688694	0.1638783444011716	33.002726311735884	51.57988281697601	5.0	0.2	Free-living	5
SRR23969226	percent	16.649296957544856	0.1538777176413028	27.07400918381031	56.122816141003526	125.0	0.2	Free-living	150
SRR9178086	percent	0.7112364750243413	0.044809644051327	29.668124524290327	69.575829356634	150.0	0.2	Free-living	150
SRR23969227	percent	15.76950781122998	0.0996875969296516	31.857444265205743	52.273360326634624	25.0	0.2	Free-living	45
SRR23969229	percent	17.886457392977167	0.4732437183995726	28.994215009575385	52.64608387904788	75.0	0.2	Free-living	75
SRR23969230	percent	14.485052073108609	0.0918226999828995	29.847869653785622	55.57525557312286	5.0	0.2	Free-living	5
SRR9178079	percent	0.0833170359092471	0.0072812954080097	29.471436003568684	70.43796566511405	250.0	0.2	Free-living	300
SRR9178081	percent	0.1602415970575048	0.0067084123987328	20.18469145662297	79.64835853392078	225.0	0.2	Free-living	300
SRR9178082	percent	19.5075802556259	0.0988465365460589	27.51537302467138	52.878200183156665	100.0	0.2	Free-living	150
SRR9178083	percent	9.15731801000108	0.2305343756926688	28.980512907891843	61.63163470641441	125.0	0.2	Free-living	150
SRR23969228	percent	14.642582134088933	0.185686921662042	28.5730955005078	56.59863544374123	75.0	0.2	Free-living	75
SRR23969168	percent	16.113030146077307	0.1110141984868041	28.5049320426252	55.27102361281069	45.0	0.2	Free-living	45
SRR9178536	percent	4.506083518751897	0.1130424735742961	28.172023928038943	67.20885007963486	125.0	0.2	Free-living	150
SRR23969166	percent	16.475327957262394	0.1083754789468086	33.43330710235673	49.98298946143407	25.0	0.2	Free-living	45
SRR17827620	percent	0.0800090659010802	0.0085584932266872	28.413117665191667	71.49831477568057	770.0	0.2	Free-living	1000
SRR17827624	percent	0.7645211758322413	0.0388089788212347	32.393723517167324	66.8029463281792	175.0	0.2	Free-living	300
SRR17827625	percent	6.19961918522484	0.0971373289998307	30.34589899256593	63.3573444932094	150.0	0.2	Free-living	150
SRR17827628	percent	1.0093660504735469	0.0487587136697199	31.7927443480091	67.14913088784763	200.0	0.2	Free-living	300
SRR17827629	percent	0.1085941468508246	0.0101656594397356	32.607506295724214	67.27373389798522	770.0	0.2	Free-living	1000
SRR17827632	percent	2.125995914913446	0.0889310267881334	31.57003447029944	66.21503858799899	150.0	0.2	Free-living	150
SRR17827633	percent	0.1602404310604825	0.010896164282908	27.260378442288463	72.56848496236815	225.0	0.2	Free-living	300
SRR17827638	percent	0.5844273495456644	0.0262379705668531	33.21023054162519	66.1791041382623	200.0	0.2	Free-living	300
SRR17827641	percent	0.2361926407849656	0.0143837977366201	33.81889056386771	65.9305329976107	250.0	0.2	Free-living	300
SRR17827645	percent	0.3114622699289958	0.0180671474995342	26.216094489152635	73.45437609341883	200.0	0.2	Free-living	300
SRR17827646	percent	0.1368554064792465	0.0102094516305608	32.503986126289696	67.3489490156005	250.0	0.2	Free-living	300
SRR17827647	percent	2.70324025367443	0.1236742866143695	30.07214614160653	67.10093931810466	150.0	0.2	Free-living	150
SRR17827616	percent	5.0422808869326445	0.0911761473725626	32.05806522511825	62.80847774057654	150.0	0.2	Free-living	150
SRR17827598	percent	0.8944139450058463	0.0441722713396184	31.60860839388545	67.45280538976908	200.0	0.2	Free-living	300
SRR17827600	percent	2.975391586370036	0.1118065103194277	32.235027377530855	64.67777452577968	150.0	0.2	Free-living	150
SRR17827617	percent	0.1262006202851177	0.0113727021200753	33.87440075074383	65.98802592685098	1000.0	0.2	Free-living	1000
SRR17827601	percent	0.1026037012588305	0.0100142532385109	33.86744822757113	66.01993381793153	770.0	0.2	Free-living	1000
SRR17827606	percent	0.1139778905445046	0.0113534546813315	30.25041017728304	69.62425847749113	770.0	0.2	Free-living	1000
SRR17827608	percent	1.024600553587325	0.0550458133540455	28.880126316108672	70.04022731694995	150.0	0.2	Free-living	150
SRR17827610	percent	1.171136119266223	0.0262307167693356	30.671450195561142	68.1311829684033	200.0	0.2	Free-living	300
SRR17827611	percent	1.3102314937554016	0.0697279188277185	20.43257725630721	78.18746333110967	150.0	0.2	Free-living	150
SRR17827613	percent	0.1829414857418774	0.0116468581637365	33.50045154696263	66.30496010913176	200.0	0.2	Free-living	300
SRR17827603	percent	2.42980516929334	0.0952737662190615	31.2107834128138	66.2641376516738	150.0	0.2	Free-living	150
SRR23969146	percent	11.504806560895084	0.2013485157700145	31.901651460772275	56.39219346256262	45.0	0.2	Free-living	45
SRR23969147	percent	10.007006876491346	0.184615637874247	22.908875748942936	66.89950173669146	25.0	0.2	Free-living	45
SRR23969148	percent	17.067872285308216	0.1446008656391053	31.88069599312814	50.90683085592455	45.0	0.2	Free-living	45
SRR23969149	percent	17.99498519014232	0.123047816482404	34.311006623087216	47.57096037028806	45.0	0.2	Free-living	45
SRR23969150	percent	12.84425576758417	0.0810844794654244	28.739741693660896	58.33491805928951	25.0	0.2	Free-living	45
SRR23969151	percent	5.177906159398027	0.1163975925613615	32.911065223179634	61.794631024860976	125.0	0.2	Free-living	150
SRR23969152	percent	20.106683537596187	0.097033361657102	26.990916937358534	52.805366163388165	100.0	0.2	Free-living	150
SRR23969153	percent	13.294034862932811	0.1162208610438219	28.19666234584095	58.39308193018241	100.0	0.2	Free-living	150
SRR23969154	percent	0.0925020575179364	0.0070220462529395	22.724143132550225	77.1763327636789	1000.0	0.2	Free-living	1000
SRR23969145	percent	21.966396959097104	0.2150879480786106	27.885712308799203	49.932802784025085	100.0	0.2	Free-living	150
SRR23969155	percent	16.873437509393643	0.1375089602251986	30.02068314280869	52.96837038757247	45.0	0.2	Free-living	45
SRR23969157	percent	3.1977004205208144	0.1668417525318411	26.675192013201137	69.9602658137462	125.0	0.2	Free-living	150
SRR23969158	percent	16.239940534861027	0.126571803661452	32.16338330398099	51.47010435749653	75.0	0.2	Free-living	75
SRR23969159	percent	13.884956336836806	0.1041085009948412	35.92869965085843	50.082235511309925	25.0	0.2	Free-living	45
SRR23969160	percent	4.354037649953577	0.2123105452861949	28.720621432943616	66.7130303718166	125.0	0.2	Free-living	150
SRR23969161	percent	15.521150956801815	0.0878637213040816	32.6218786899294	51.76910663196471	45.0	0.2	Free-living	45
SRR23969162	percent	6.535594772100634	0.1564740020148802	23.69948421917997	69.60844700670451	125.0	0.2	Free-living	150
SRR23969163	percent	11.343706003632716	0.1143148752570979	28.39647063584697	60.14550848526321	25.0	0.2	Free-living	45
SRR23969164	percent	5.445589490912908	0.1443221863863335	26.23421542569537	68.17587289700539	125.0	0.2	Free-living	150
SRR23969156	percent	14.935952835471053	0.1761962924964233	29.51621711841223	55.37163375362029	5.0	0.2	Free-living	5
SRR23969144	percent	19.216164831877094	0.2581951101648103	24.817951392767963	55.707688665190126	75.0	0.2	Free-living	75
SRR23969143	percent	19.944517771545144	0.2638787407887333	28.125530780809065	51.66607270685706	25.0	0.2	Free-living	45
SRR23969142	percent	16.756246290982453	0.1390730490925108	32.49890370344184	50.6057769564832	75.0	0.2	Free-living	75
SRR17827654	percent	0.0867762268398701	0.0083252226678264	26.972877383983075	72.93202116650923	1000.0	0.2	Free-living	1000
SRR17827657	percent	1.0501955830560974	0.061064220795333	30.44787255356856	68.44086764258	200.0	0.2	Free-living	300
SRR17827661	percent	0.1767461867572873	0.0111672080705211	31.14092809891173	68.67115850626047	225.0	0.2	Free-living	300
SRR17827663	percent	0.1378519797845694	0.0107070061674558	35.30623979624341	64.54520121780456	770.0	0.2	Free-living	1000
SRR17827664	percent	0.1246785952523503	0.0110925323173222	36.026453074711874	63.83777579771846	500.0	0.2	Free-living	1000
SRR17827666	percent	0.4306789532604804	0.0232800715382234	30.09242913680851	69.45361183839279	200.0	0.2	Free-living	300
SRR17827667	percent	0.3144807559849331	0.0175961835897146	31.011097083213112	68.65682597721224	225.0	0.2	Free-living	300
SRR17827668	percent	2.603336814438072	0.1426821309060025	31.14632027026865	66.10766078438728	150.0	0.2	Free-living	150
SRR17827671	percent	0.2249032343423399	0.0145838912644582	31.690348501567613	68.07016437282559	200.0	0.2	Free-living	300
SRR17827672	percent	0.1070615003226135	0.0082969402655618	34.88227119910348	65.00237036030835	500.0	0.2	Free-living	1000
SRR23969138	percent	0.112509089511824	0.0111140932407799	26.202840061270148	73.67353675597724	770.0	0.2	Free-living	1000
SRR23969139	percent	16.501302369540884	0.1202640788826614	29.688006147189935	53.69042740438652	5.0	0.2	Free-living	5
SRR23969140	percent	4.815720339732756	0.2182060820839528	30.63127161255106	64.33480196563224	125.0	0.2	Free-living	150
SRR23969141	percent	16.400537278175857	0.6144722655812149	30.002341251206577	52.982649205036346	25.0	0.2	Free-living	45
SRR9178110	percent	0.2130335110655944	0.0122818975223613	31.55905604329103	68.21562854812102	225.0	0.2	Free-living	300
SRR9178111	percent	0.3878067583290294	0.0200907201452753	34.53874090598912	65.05336161553659	225.0	0.2	Free-living	300
SRR9178112	percent	13.881553110305775	0.156197685143265	27.480661928366416	58.48158727618454	100.0	0.2	Free-living	150
SRR9178113	percent	1.5399325120628593	0.0687392062923726	30.88897434414657	67.5023539374982	150.0	0.2	Free-living	150
SRR9178375	percent	13.80639274722068	0.1123079879369618	35.6469755383681	50.43432372647425	5.0	0.2	Free-living	5
SRR9178402	percent	18.06362871792936	0.0799989479884505	28.474034436113087	53.3823378979691	125.0	0.2	Free-living	150
SRR9178403	percent	1.1181356904379194	0.0462084939245044	33.012363314156865	65.82329250148071	175.0	0.2	Free-living	300
SRR9178404	percent	15.2334569526237	0.0867201578153051	28.18737598997193	56.49244689958907	25.0	0.2	Free-living	45
SRR9178405	percent	18.3548569798471	0.120800670322075	30.562821706000943	50.961520643829886	25.0	0.2	Free-living	45
SRR9178406	percent	5.700926229521115	0.0797661788099753	31.81467334459897	62.404634247069936	150.0	0.2	Free-living	150
SRR9178407	percent	15.780523349848266	0.1229263553353564	31.359879094442043	52.73667120037433	5.0	0.2	Free-living	5
SRR9178408	percent	0.2187959343170206	0.0135876073982802	29.775387546047448	69.99222891223725	175.0	0.2	Free-living	300
SRR9178409	percent	0.4110052973562025	0.0137313133434913	33.85579073478465	65.71947265451567	200.0	0.2	Free-living	300
SRR9178374	percent	0.528908916629571	0.0255188848093511	31.002672887989903	68.44289931057118	200.0	0.2	Free-living	300
SRR9178410	percent	19.706433608617253	0.2080890635048603	23.815937355947938	56.26953997192995	100.0	0.2	Free-living	150
SRR9178436	percent	17.30331573563857	0.2057572701952307	33.174956308085235	49.315970686080966	25.0	0.2	Free-living	45
SRR9178437	percent	12.058765988662454	0.1007562684185476	27.79796842570456	60.042509317214446	125.0	0.2	Free-living	150
SRR9178438	percent	15.561700895339714	0.1074543608735752	24.37262732187043	59.95821742191628	5.0	0.2	Free-living	5
SRR9178439	percent	0.2286647145529273	0.0149400339228569	31.85862295867891	67.8977722928453	200.0	0.2	Free-living	300
SRR9178441	percent	6.119175400371677	0.0744150138134683	32.571644822710816	61.234764763104046	150.0	0.2	Free-living	150
SRR9178442	percent	4.56911331689357	0.0715086414566516	26.467651064522563	68.8917269771272	125.0	0.2	Free-living	150
SRR9178443	percent	13.97962826513542	0.1024229857579945	31.6464978261582	54.27145092294838	25.0	0.2	Free-living	45
SRR9178411	percent	12.75695887457211	0.1588772124573498	26.089895921908116	60.99426799106242	45.0	0.2	Free-living	45
SRR9178373	percent	0.3249647202446895	0.0200293241276339	29.207460243494943	70.44754571213274	175.0	0.2	Free-living	300
SRR9178371	percent	2.372633271863761	0.0944562489554633	30.652967702456078	66.8799427767247	150.0	0.2	Free-living	150
SRR9178335	percent	18.219915487177985	0.1606379277483449	26.9863374318426	54.63310915323108	5.0	0.2	Free-living	5
SRR9178337	percent	18.06969460634925	0.1264370782944704	29.22374849927473	52.58011981608155	5.0	0.2	Free-living	5
SRR9178338	percent	15.23057647073485	0.1174619476525984	29.717588360086268	54.934373221526286	5.0	0.2	Free-living	5
SRR9178339	percent	1.5051069722757204	0.0853147141813909	28.12383466753648	70.28574364600641	150.0	0.2	Free-living	150
SRR9178353	percent	19.38869464580627	0.0995243112612012	30.27729358511178	50.23448745782076	5.0	0.2	Free-living	5
SRR9178354	percent	0.2975893751026287	0.0147169907521825	32.285367391713635	67.40232624243156	200.0	0.2	Free-living	300
SRR9178355	percent	0.1480476752773962	0.0106946658372664	29.774884945817963	70.06637271306737	250.0	0.2	Free-living	300
SRR9178356	percent	6.333689377896596	0.0582625898759682	28.659956295472394	64.94809173675505	100.0	0.2	Free-living	150
SRR9178372	percent	0.3107092086580243	0.0152400670331737	29.844332661363172	69.82971806294562	250.0	0.2	Free-living	300
SRR9178357	percent	14.710148618706135	0.0973032888892728	25.22613170012854	59.966416392276045	75.0	0.2	Free-living	75
SRR9178359	percent	14.831543976094869	0.0996621842564308	25.1727723602274	59.8960214794213	75.0	0.2	Free-living	75
SRR9178360	percent	1.354546304183507	0.0481679419034971	37.03434957227195	61.56293618164105	150.0	0.2	Free-living	150
SRR9178361	percent	4.966749608308737	0.2216947403405048	28.27833317281413	66.53322247853663	150.0	0.2	Free-living	150
SRR9178362	percent	12.424844234696373	0.1196718024159043	27.563214775497435	59.89226918739029	75.0	0.2	Free-living	75
SRR9178366	percent	14.651975844898825	0.0688632270367623	22.34346858777413	62.93569234029028	5.0	0.2	Free-living	5
SRR9178367	percent	14.045462195042925	0.1016275618907305	30.394501746390507	55.45840849667584	45.0	0.2	Free-living	45
SRR9178368	percent	18.573152829221417	0.1484369032102106	27.073157910899283	54.205252356669085	5.0	0.2	Free-living	5
SRR9178369	percent	0.4830386849181658	0.0261431520938363	30.172411063543787	69.31840709944422	175.0	0.2	Free-living	300
SRR9178370	percent	4.575056265851947	0.0603492601013744	31.67548150025213	63.68911297379455	150.0	0.2	Free-living	150
SRR9178358	percent	18.763332688876687	0.1590812545107747	25.518503609913207	55.55908244669933	75.0	0.2	Free-living	75
SRR9178457	percent	0.1407595801969645	0.0094249932956725	31.40149968575222	68.44831574075513	250.0	0.2	Free-living	300
SRR9178458	percent	1.0833816087013517	0.0495960714323135	29.32880891211732	69.53821340774901	200.0	0.2	Free-living	300
SRR9178494	percent	17.358327012677428	0.0897874011305089	33.359631323357505	49.19225426283455	5.0	0.2	Free-living	5
SRR9178495	percent	0.5810756757259581	0.0292392000376112	31.13021701620877	68.25946810802765	175.0	0.2	Free-living	300
SRR9178498	percent	2.4649744164769936	0.1007496192621045	30.175182530207454	67.25909343405345	200.0	0.2	Free-living	300
SRR9178499	percent	0.1289769594278304	0.006816711110796	32.9133232031586	66.95088312630278	500.0	0.2	Free-living	1000
