Path,Sample,FileName,Reference,Group,Outgroup
/nfs/chisholmlab001/nvo/projects/23_allison_phage_variant_calling/widevariant/WideVariant/0-input/D23-130010-6179L/,SP-10,230329ChiA_D23-130010,MED4oldax,MED4oldax,0
/nfs/chisholmlab001/nvo/projects/23_allison_phage_variant_calling/widevariant/WideVariant/0-input/D23-130011-6179L/,SP-11,230329ChiA_D23-130011,MED4oldax,MED4oldax,0
/nfs/chisholmlab001/nvo/projects/23_allison_phage_variant_calling/widevariant/WideVariant/0-input/D23-130012-6179L/,SP-12,230329ChiA_D23-130012,MED4oldax,MED4oldax,0
/nfs/chisholmlab001/nvo/projects/23_allison_phage_variant_calling/widevariant/WideVariant/0-input/D23-130013-6179L/,SP-13,230329ChiA_D23-130013,MED4oldax,MED4oldax,0
/nfs/chisholmlab001/nvo/projects/23_allison_phage_variant_calling/widevariant/WideVariant/0-input/D23-130014-6179L/,SP-14,230329ChiA_D23-130014,MED4oldax,MED4oldax,0
/nfs/chisholmlab001/nvo/projects/23_allison_phage_variant_calling/widevariant/WideVariant/0-input/D23-130015-6179L/,SP-15,230329ChiA_D23-130015,MED4oldax,MED4oldax,0
/nfs/chisholmlab001/nvo/projects/23_allison_phage_variant_calling/widevariant/WideVariant/0-input/D23-130016-6179L/,SP-16,230329ChiA_D23-130016,MED4oldax,MED4oldax,0
/nfs/chisholmlab001/nvo/projects/23_allison_phage_variant_calling/widevariant/WideVariant/0-input/D23-130017-6179L/,SP-17,230329ChiA_D23-130017,MED4oldax,MED4oldax,0
/nfs/chisholmlab001/nvo/projects/23_allison_phage_variant_calling/widevariant/WideVariant/0-input/D23-130018-6179L/,SP-18,230329ChiA_D23-130018,MED4oldax,MED4oldax,0
/nfs/chisholmlab001/nvo/projects/23_allison_phage_variant_calling/widevariant/WideVariant/0-input/D23-130001-6179L/,SP-01,230329ChiA_D23-130001,7803ax,NPC,1